iter	Logloss
0	0.671317418
1	0.6545804304
2	0.6409569215
3	0.629480724
4	0.6138210737
5	0.6026578843
6	0.5892405451
7	0.5823720507
8	0.573054462
9	0.5648389711
10	0.5593725889
11	0.5561201839
12	0.5492972042
13	0.5436304274
14	0.5383963469
15	0.5363545026
16	0.5342745789
17	0.5308609776
18	0.5296978807
19	0.5279218334
20	0.5258480458
21	0.522115228
22	0.5205353523
23	0.5181149528
24	0.5171283201
25	0.5154348562
26	0.5132234417
27	0.5113757837
28	0.5103306423
29	0.5100573377
30	0.5085896425
31	0.5075255517
32	0.5071872055
33	0.5070183572
34	0.5064316112
35	0.505076277
36	0.5040022965
37	0.5033045249
38	0.5018996335
39	0.5011626638
40	0.5004723276
41	0.4998756197
42	0.4994742531
43	0.4994176214
44	0.4990711178
45	0.4982715248
46	0.497499255
47	0.4973335108
48	0.4971486367
49	0.4969206663
50	0.4966281595
51	0.4964915794
52	0.4962276592
53	0.4953301789
54	0.4949396044
55	0.4946361973
56	0.4943711581
57	0.4938013042
58	0.4933839479
59	0.4930962056
60	0.4927935564
61	0.4925516536
62	0.4924491102
63	0.4920205286
64	0.4918666233
65	0.4915516299
66	0.4912927268
67	0.4909642342
68	0.490610981
69	0.4901854314
70	0.4899201035
71	0.4894752435
72	0.4891519484
73	0.4889889835
74	0.488735675
75	0.4881357546
76	0.4879216804
77	0.4875324053
78	0.4873399154
79	0.4870681988
80	0.4869725494
81	0.4866205957
82	0.4863592381
83	0.4862467689
84	0.4860608841
85	0.4855794969
86	0.4852977101
87	0.4851520342
88	0.4848984369
89	0.4847352193
90	0.4844572946
91	0.4840890624
92	0.4838993878
93	0.4838195476
94	0.4836594341
95	0.4834423279
96	0.4833010195
97	0.4830494796
98	0.4821573412
99	0.4819983105
100	0.4816728498
101	0.4814450959
102	0.4814431829
103	0.4811262405
104	0.4807762719
105	0.4806523969
106	0.4803525991
107	0.4802932604
108	0.4799898532
109	0.4795595391
110	0.4792901326
111	0.4791949163
112	0.4789727931
113	0.4788320982
114	0.478753774
115	0.4786698552
116	0.4786057159
117	0.4784966395
118	0.4783410016
119	0.4781958672
120	0.4777972798
121	0.4776700842
122	0.4772940917
123	0.4771563565
124	0.4768498814
125	0.476236534
126	0.4755517203
127	0.4752257904
128	0.4750134126
129	0.4748163026
130	0.4747423457
131	0.4745328194
132	0.4742957171
133	0.4740615745
134	0.4739138413
135	0.4737511651
136	0.473521426
137	0.4733916677
138	0.4731080401
139	0.472879817
140	0.4726468294
141	0.4724137336
142	0.4719348007
143	0.4718602303
144	0.4717418777
145	0.4714818917
146	0.4712859728
147	0.4711300462
148	0.4710408938
149	0.4709175241
150	0.4706925133
151	0.4704127839
152	0.4701225872
153	0.470027804
154	0.4697979928
155	0.4696112779
156	0.4693939913
157	0.4692234827
158	0.4690323643
159	0.4690164468
160	0.4688303816
161	0.4685635378
162	0.4683913688
163	0.4682289453
164	0.4679796793
165	0.4678948581
166	0.4677743759
167	0.4677016824
168	0.4675298744
169	0.4672888379
170	0.4671275693
171	0.4669097774
172	0.4666095465
173	0.466461705
174	0.4662513485
175	0.4658729377
176	0.465550906
177	0.4651532932
178	0.464773944
179	0.4646375082
180	0.4643778471
181	0.4641572398
182	0.4639516477
183	0.4637842071
184	0.4636366905
185	0.4633735643
186	0.4631558807
187	0.4629470762
188	0.4627824509
189	0.462544699
190	0.4623286396
191	0.4621166949
192	0.4619624286
193	0.4616291716
194	0.46145444
195	0.4613544232
196	0.4611705236
197	0.4609470288
198	0.4607962276
199	0.460561291
200	0.4603115558
201	0.4601307964
202	0.4599192127
203	0.4594681445
204	0.4591893174
205	0.4590517988
206	0.4588938149
207	0.4587517845
208	0.4584960216
209	0.4583878836
210	0.458121509
211	0.4579299214
212	0.4577620115
213	0.4575557697
214	0.4574525767
215	0.4572125147
216	0.4569452377
217	0.456747839
218	0.4565190023
219	0.4563949107
220	0.4561364407
221	0.4559677729
222	0.4558108356
223	0.4555902284
224	0.4553343572
225	0.4549068945
226	0.4545881834
227	0.4543018127
228	0.4541983669
229	0.4537762101
230	0.453615086
231	0.4534874571
232	0.4533121119
233	0.4531278153
234	0.452852706
235	0.4524989114
236	0.4521274307
237	0.4517812159
238	0.4515572158
239	0.4513525983
240	0.4511458872
241	0.4509021797
242	0.4505631477
243	0.4503518166
244	0.4501734395
245	0.4499544203
246	0.4497842727
247	0.4496264692
248	0.4494143801
249	0.4488015381
250	0.4485575779
251	0.4482945962
252	0.448113909
253	0.4478707429
254	0.447653348
255	0.4474094962
256	0.4472955831
257	0.4470110171
258	0.4468551627
259	0.4466297188
260	0.4464625308
261	0.4462837206
262	0.4459960143
263	0.4458134142
264	0.4454719638
265	0.4453428912
266	0.4450361634
267	0.4447638333
268	0.4445858171
269	0.4444526659
270	0.4442955843
271	0.4440941791
272	0.4439557581
273	0.4437925766
274	0.4434613048
275	0.4433709973
276	0.4432118944
277	0.4430750977
278	0.442656045
279	0.4424450027
280	0.4422210026
281	0.4420513963
282	0.4418579318
283	0.4417378828
284	0.4415446349
285	0.4414322378
286	0.4411915261
287	0.4410053887
288	0.4408464302
289	0.440736668
290	0.4405352267
291	0.440312526
292	0.4401244756
293	0.4399614024
294	0.4397452708
295	0.4395504708
296	0.4393575478
297	0.4391976147
298	0.4389753471
299	0.438852952
