iter	Passed	Remaining
0	6	2063
1	12	1840
2	18	1846
3	25	1853
4	32	1922
5	41	2032
6	48	2035
7	55	2017
8	65	2111
9	72	2106
10	80	2106
11	87	2105
12	95	2103
13	101	2081
14	109	2078
15	117	2081
16	126	2107
17	144	2269
18	159	2355
19	169	2369
20	178	2368
21	184	2328
22	190	2297
23	197	2275
24	207	2277
25	215	2269
26	224	2274
27	232	2259
28	240	2248
29	249	2241
30	255	2221
31	264	2214
32	272	2205
33	280	2197
34	290	2201
35	298	2186
36	306	2179
37	315	2172
38	323	2166
39	331	2156
40	340	2153
41	347	2136
42	355	2126
43	363	2112
44	371	2105
45	378	2091
46	386	2079
47	394	2069
48	401	2058
49	411	2059
50	430	2103
51	440	2102
52	451	2103
53	459	2094
54	468	2086
55	478	2086
56	486	2072
57	492	2054
58	498	2036
59	505	2021
60	512	2006
61	519	1995
62	526	1980
63	533	1965
64	539	1948
65	544	1932
66	551	1917
67	557	1900
68	563	1885
69	568	1869
70	573	1850
71	579	1835
72	585	1819
73	589	1800
74	595	1787
75	601	1771
76	606	1756
77	611	1740
78	616	1724
79	621	1709
80	626	1694
81	631	1679
82	637	1665
83	643	1653
84	648	1639
85	654	1627
86	659	1614
87	664	1600
88	671	1591
89	677	1580
90	683	1570
91	689	1559
92	695	1549
93	702	1538
94	707	1527
95	713	1516
96	719	1504
97	725	1494
98	730	1483
99	736	1472
100	740	1459
101	746	1449
102	754	1443
103	761	1434
104	767	1425
105	774	1417
106	781	1409
107	788	1401
108	794	1393
109	803	1387
110	810	1379
111	816	1370
112	822	1361
113	828	1352
114	834	1342
115	840	1332
116	846	1324
117	852	1314
118	857	1303
119	862	1294
120	867	1282
121	872	1272
122	878	1263
123	882	1253
124	887	1242
125	893	1233
126	898	1223
127	903	1213
128	910	1206
129	915	1197
130	920	1188
131	926	1178
132	931	1169
133	937	1161
134	943	1152
135	948	1143
136	953	1134
137	959	1126
138	965	1117
139	970	1109
140	976	1100
141	981	1092
142	987	1083
143	993	1076
144	998	1067
145	1004	1060
146	1011	1052
147	1017	1044
148	1023	1036
149	1028	1028
150	1033	1020
151	1039	1011
152	1044	1003
153	1049	995
154	1055	987
155	1060	978
156	1065	970
157	1071	963
158	1077	955
159	1083	947
160	1088	940
161	1094	932
162	1099	924
163	1105	916
164	1110	908
165	1117	901
166	1122	894
167	1127	886
168	1132	877
169	1138	870
170	1144	863
171	1149	855
172	1154	847
173	1160	840
174	1165	832
175	1174	827
176	1183	822
177	1189	815
178	1197	809
179	1204	802
180	1210	796
181	1216	788
182	1224	782
183	1230	776
184	1238	769
185	1253	768
186	1262	762
187	1269	756
188	1278	750
189	1285	744
190	1292	737
191	1299	731
192	1309	725
193	1316	719
194	1324	713
195	1330	706
196	1338	699
197	1345	693
198	1353	686
199	1362	681
200	1370	675
201	1378	668
202	1386	662
203	1393	655
204	1403	650
205	1412	644
206	1422	638
207	1431	632
208	1441	627
209	1449	621
210	1456	614
211	1465	608
212	1473	601
213	1481	595
214	1488	588
215	1496	582
216	1503	575
217	1511	568
218	1519	562
219	1526	554
220	1533	548
221	1539	540
222	1546	533
223	1552	526
224	1558	519
225	1565	512
226	1570	505
227	1576	497
228	1582	490
229	1588	483
230	1594	476
231	1601	469
232	1607	462
233	1614	455
234	1620	448
235	1627	441
236	1633	434
237	1639	426
238	1645	420
239	1651	412
240	1658	405
241	1664	398
242	1670	391
243	1677	385
244	1684	378
245	1691	371
246	1697	364
247	1704	357
248	1710	350
249	1716	343
250	1722	336
251	1728	329
252	1735	322
253	1741	315
254	1747	308
255	1753	301
256	1759	294
257	1765	287
258	1772	280
259	1778	273
260	1784	266
261	1791	259
262	1797	252
263	1804	246
264	1810	239
265	1816	232
266	1823	225
267	1829	218
268	1836	211
269	1842	204
270	1849	197
271	1856	191
272	1863	184
273	1869	177
274	1875	170
275	1883	163
276	1889	156
277	1896	150
278	1903	143
279	1910	136
280	1917	129
281	1931	123
282	1940	116
283	1951	109
284	1961	103
285	1973	96
286	1983	89
287	1993	83
288	2014	76
289	2023	69
290	2031	62
291	2050	56
292	2061	49
293	2072	42
294	2087	35
295	2096	28
296	2105	21
297	2126	14
298	2135	7
299	2145	0
